year,work,title,title_narrow,venue,venue_narrow,location,location_narrow
2026,Life on FACT and Coffee Machine, Can Meeple Escape the Neurophia? ,FACT Spring 2026 exhibition,FACT,FACT,Liverpool (UK),Liverpool (UK)
2026,Coffee Machine,Triumph of Galatea. Art in the Age of AI,Triumph of Galatea – Art in AI,KUMU Art Museum,KUMU Art Museum,Tallinn (EE),Tallinn (EE)
2025,,Future Sensing,Future Sensing,"AI and Digital Art Lab, ShanghaiTech University",AI+Digital Art Lab ShanghaiTech,Shanghai (CN),Shanghai (CN)
2025,Copy Machine / Dream Machine,Artificial vs. Intelligence,Artificial vs. Intelligence,The Media Majlis at Northwestern University in Qatar,Media Majlis NWU Qatar,Doha (QA),Doha (QA)
2025,,Artificial Physical Intelligence,Artificial Physical Intelligence,Hochschule Luzern,Hochschule Luzern,Lucerne (CH),Lucerne (CH)
2025,,"AI in art Practices and Research Conference", "AI in art Practices and Research","National University of Theatre and Film", "UNATC","Bucharest (RO)",Bucharest (RO)
2024,"Conversations Beyond the Ordinary (Coffee Machine, Copy Machine & Microwave)",Prix Ars Electronica Exhibition,Prix Ars Electronica Exhib.,Lentos Museum,Lentos Museum,Linz (AT),Linz (AT)
2024,Coffee Machine,"Dutch, More or Less. Contemporary Architecture, Design and Digital Culture","Dutch, More or Less. Contemp.",Het Nieuwe Instituut,Het Nieuwe Instituut,Rotterdam (NL),Rotterdam (NL)
2024,,Art in Postreality, Art in Postreality,USC Cinematic Arts,USC Cinematic Arts,Los Angeles (US),Los Angeles (US)
2024,,Ars Electronica Workshops,Ars Electronica Workshop Track,Ars Electronica,Ars Electronica,Linz (AT),Linz (AT)
2024,Coffee Machine,Flux Festival,Flux Festival,Audrey Irmas Pavilion,Audrey Irmas Pavilion,Los Angeles (US),Los Angeles (US)
2024,,GenAI on the fly,GenAI on the fly,TU Delft,TU Delft,Delft (NL),Delft (NL)
2024,Coffee Machine & Copy Machine,Het Einde,Het Einde,De School,De School,Amsterdam (NL),Amsterdam (NL)
2023,,"Waag Futurelab", Waag Futurelab,Dutch Design Week,Dutch Design Week,Eindhoven (NL),Eindhoven (NL)
2021,,Machine Learning for Creativity and Design,ML4CD Art Gallery,NeurIPS,NeurIPS,Vancouver (CA),Vancouver (CA)






